"","MS1","MS2","MS3","MS4","MS5","MS6","MS7","MS12","MS13","MS14","Epi1","Epi2","Epi3","SNAE4","SNAE5","SNAE13","SNAE14","NEpi1","NEpi2","NEpi3","NEpi4","NEpi5","AE3Ctl3","AE4Ctl4","Ctl12","Ctl7","Ctl8","Ctl2","Ctl3","Ctl4","Ctl5","Ctl6"
"STXBP5_hblOligo232805",0,0,0,0,0,0,0,0,2.37657695705651,0,0,0,0,2.2718416065365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STXBP5_hblOligo257632",0,0,0,0,0,0,0,0,2.6570558528571,0,0,0,0,2.49276038902684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYN3_hblOligo111725",0,0,0,0,0,1.76342799356294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TSPOAP1_hblOligo142510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76342799356294,0,0,0,0,0,0,0,0,0,0,0,0,0
"UNC13B_hblOligo121642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28103336724773,0,0,0,0,0,0,0,0,0,0,0,0
"UNC13B_hblOligo242447",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97772360528885,0,0,0,0,0,0,0,0,0,0,0,0
"UNC13C_hblOligo242470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2148438480477,0,0,0,0,0,0,0,0,0,0
"AMACR_hblOligo256326",0,0,1.78532983501077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMACR_hblOligo4513",0,0,2.38916608436453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMER2_hblOligo35920",0,0,0,0,0,1.75587485567249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANK2_hblOligo135948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79934054945358
"ANK2_hblOligo135960",0,0,2.12057393120585,0,0,0,0,1.99122607569249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANK2_hblOligo4882",0,0,2.10720996964787,0,0,0,0,2.02530586526477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANK2_hblOligo4896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14301480025409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARHGAP23_hblOligo6843",2.00860017176192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29225607135648
"ARHGAP33_hblOligo255110",0,0,0,0,0,0,0,0,0,2.01283722470517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARHGAP33_hblOligo255112",0,0,0,0,0,1.65321251377534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARHGAP33_hblOligo255113",0,0,0,0,0,1.94939000664491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARHGEF11_hblOligo138049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55630250076729,0,0,0,0,0,0,0,0,0,0,0
"ARHGEF11_hblOligo7121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28780172993023,0,0,0,0,0,0,0,0,0,0,0
"ARPC5_hblOligo7685",0,0,0,0,1.61278385671974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41497334797082,0,0,0,0,0,0,0,0,0,0,0,0
"AVEN_hblOligo9550",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60205999132796,0,0,0,0,0,0,0,0,0,0
"BASP1_hblOligo10047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51851393987789,0,0,0,0
"CAMK2B_hblOligo147052",0,0,0,0,0,0,0,0,1.92941892571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAMK2B_hblOligo17055",0,0,0,0,0,0,0,0,2.85308952985187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD44_hblOligo149261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30102999566398
"CEP295_hblOligo54640",0,0,1.57978359661681,0,0,1.77815125038364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP295_hblOligo54648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56702636615906,0,0,0,0,0,0,0,0,0,0,0,0
"CEP55_hblOligo150781",0,0,0,0,0,0,0,0,1.69019608002851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL5A3_hblOligo153610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20139712432045,0,0,0,0,0,0,0,0,0,0
"CTNND1_hblOligo155300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09691001300806,0,0,0,0,0,0,0,0,0,0,0,0
"DBN1_hblOligo156480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98677173426624
"EFCAB2_hblOligo32609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19312459835446,0,0,0,0,0,0,0,0,0,0,0,0,0
"EFR3A_hblOligo32747",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84509804001426,0,0,0,0,0,0,0,0,0,0,0,0,0
"EHBP1_hblOligo161664",0,1.78532983501077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EHBP1_hblOligo32880",0,2.19865708695442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EHD2_hblOligo161698",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29666519026153,0,0,0,0,0,0,0,0,0,0,0,0
"EHD2_hblOligo32917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36172783601759,0,0,0,0,0,0,0,0,0,0,0,0
"EPB41L4B_hblOligo162761",0,0,2.60852603357719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERMN_hblOligo163385",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30102999566398
"ERMN_hblOligo34749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63346845557959
"FAM161B_hblOligo164762",0,0,0,0,0,0,0,0,0,2.11394335230684,0,0,0,0,0,0,0,1.82607480270083,2.14921911265538,2.46538285144842,0,0,0,0,0,0,0,0,0,0,0,0
"FAM161B_hblOligo36234",0,0,0,0,0,0,0,0,0,1.27875360095283,0,0,0,0,0,0,0,0,1.32221929473392,1.56820172406699,0,0,0,0,0,0,0,0,0,0,0,0
"GAP43_hblOligo41691",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15228834438306,0,0,0,0,0,0,0,0,0,0,0
"GAS2_hblOligo169868",0,0,0,0,0,0,0,0,0,2.10720996964787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIPC1_hblOligo170626",0,0,0,0,2.77670118398841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GPRIN1_hblOligo44567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73239375982297,0,0,0,0,0,0
"ITSN1_hblOligo51786",0,0,0,0,2.54282542695918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIF26B_hblOligo55178",0,0,2.33445375115093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIMA1_hblOligo57927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90308998699194,0,0,0,0,0,0,0,0,0,0
"LYN_hblOligo252884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03742649794062,0,0,0,0,0,0,0,0,0,0,0,0
"MACF1_hblOligo195365",0,0,0,0,0,0,0,0,2.29885307640971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MACF1_hblOligo70659",0,0,0,0,0,1.20411998265592,0,0,1.49136169383427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
